"","kratica","datum","tip","tecaj"
"211","CZK",1998-05-01,"nakupni",32.6560364465
"212","JOD",1998-05-01,"nakupni",0.7090009891
"213","FJD",1998-05-01,"nakupni",1.9436008677
"214","DZD",1998-05-01,"nakupni",56.8212445501
"215","ISK",1998-05-01,"nakupni",71.2879164595
"216","XAG",1998-05-01,"nakupni",0.1620802713
"217","JMD",1998-05-01,"nakupni",35.9478435306
"218","LBP",1998-05-01,"nakupni",1515.4334038055
"219","TTD",1998-05-01,"nakupni",6.2168256722
"220","XCD",1998-05-01,"nakupni",2.6998116761
"221","BBD",1998-05-01,"nakupni",2.0112233446
"222","BMD",1998-05-01,"nakupni",1
"223","XPT",1998-05-01,"nakupni",0.0025413033
"224","BSD",1998-05-01,"nakupni",1
"225","XDR",1998-05-01,"nakupni",0.7443406023
"226","USD",1998-06-01,"nakupni",1
"227","EUR",1998-06-01,"nakupni",0.9023045471
"228","GBP",1998-06-01,"nakupni",0.6099501654
"229","INR",1998-06-01,"nakupni",41.6023993145
"230","AUD",1998-06-01,"nakupni",1.6206743073
"231","CAD",1998-06-01,"nakupni",1.4565
"232","SGD",1998-06-01,"nakupni",1.6949842895
"233","CHF",1998-06-01,"nakupni",1.4770307271
"234","MYR",1998-06-01,"nakupni",3.9396808223
"235","JPY",1998-06-01,"nakupni",139.5114942529
"236","CNY",1998-06-01,"nakupni",8.2802728823
"237","NZD",1998-06-01,"nakupni",1.8903309539
"238","THB",1998-06-01,"nakupni",41.9016110472
"239","HUF",1998-06-01,"nakupni",213.8766519824
"240","HKD",1998-06-01,"nakupni",7.7473404255
"241","ZAR",1998-06-01,"nakupni",5.2017857143
"242","PHP",1998-06-01,"nakupni",39.2481810833
"243","SEK",1998-06-01,"nakupni",7.8138412017
"244","IDR",1998-06-01,"nakupni",11559.523809524
"245","SAR",1998-06-01,"nakupni",3.7509657481
"246","BRL",1998-06-01,"nakupni",1.1519297691
"247","KRW",1998-06-01,"nakupni",1396.4525407478
"248","EGP",1998-06-01,"nakupni",3.4022424667
"249","NOK",1998-06-01,"nakupni",7.5116039195
"250","DKK",1998-06-01,"nakupni",6.7775709632
"251","PKR",1998-06-01,"nakupni",44.4597069597
"252","ILS",1998-06-01,"nakupni",3.6367041199
"253","XAU",1998-06-01,"nakupni",0.0034632395
"254","CLP",1998-06-01,"nakupni",455.5833593994
"255","TWD",1998-06-01,"nakupni",34.1981685842
"256","CZK",1998-06-01,"nakupni",33.2534246575
"257","JOD",1998-06-01,"nakupni",0.7090006328
"258","FJD",1998-06-01,"nakupni",1.9941128149
"259","DZD",1998-06-01,"nakupni",56.6070734551
"260","ISK",1998-06-01,"nakupni",71.2922173275
"261","XAG",1998-06-01,"nakupni",0.1976255088
"262","JMD",1998-06-01,"nakupni",35.9985170539
"263","LBP",1998-06-01,"nakupni",1512.46105919
"264","TTD",1998-06-01,"nakupni",6.2217001282
"265","XCD",1998-06-01,"nakupni",2.7002224694
"266","BBD",1998-06-01,"nakupni",2.0111847556
"267","BMD",1998-06-01,"nakupni",1
"268","XPT",1998-06-01,"nakupni",0.0027525276
"269","BSD",1998-06-01,"nakupni",1
"270","XDR",1998-06-01,"nakupni",0.7486122533
"271","USD",1998-07-01,"nakupni",1
"272","EUR",1998-07-01,"nakupni",0.9098553234
"273","GBP",1998-07-01,"nakupni",0.598917423
"274","INR",1998-07-01,"nakupni",42.2995113538
"275","AUD",1998-07-01,"nakupni",1.6102418208
"276","CAD",1998-07-01,"nakupni",1.4716
"277","SGD",1998-07-01,"nakupni",1.6824053961
"278","CHF",1998-07-01,"nakupni",1.5143033546
"279","MYR",1998-07-01,"nakupni",4.1198208287
"280","JPY",1998-07-01,"nakupni",138.3082706767
"281","CNY",1998-07-01,"nakupni",8.2813731007
"282","NZD",1998-07-01,"nakupni",1.9203967115
"283","THB",1998-07-01,"nakupni",42.15411057
"284","HUF",1998-07-01,"nakupni",218.6627043091
"285","HKD",1998-07-01,"nakupni",7.7452631579
"286","ZAR",1998-07-01,"nakupni",5.9410577311
"287","PHP",1998-07-01,"nakupni",41.5002820079
"288","SEK",1998-07-01,"nakupni",7.9718309859
"289","IDR",1998-07-01,"nakupni",14570.297029703
"290","SAR",1998-07-01,"nakupni",3.750254842
"291","BRL",1998-07-01,"nakupni",1.1564636542
"292","KRW",1998-07-01,"nakupni",1370.2048417132
"293","EGP",1998-07-01,"nakupni",3.4025433526
"294","NOK",1998-07-01,"nakupni",7.6407061267
"295","DKK",1998-07-01,"nakupni",6.8670088661
"296","PKR",1998-07-01,"nakupni",46.073888541
"297","ILS",1998-07-01,"nakupni",3.6652552927
"298","XAU",1998-07-01,"nakupni",0.0033749197
"299","CLP",1998-07-01,"nakupni",467.0263408442
"300","TWD",1998-07-01,"nakupni",34.3510737628
"301","CZK",1998-07-01,"nakupni",32.6297117517
"302","JOD",1998-07-01,"nakupni",0.7089998073
"303","FJD",1998-07-01,"nakupni",2.0325966851
"304","DZD",1998-07-01,"nakupni",58.746506986
"305","ISK",1998-07-01,"nakupni",71.3330101794
"306","XAG",1998-07-01,"nakupni",0.1858784893
"307","LBP",1998-07-01,"nakupni",1509.3333333333
"308","TTD",1998-07-01,"nakupni",6.2303132938
"309","XCD",1998-07-01,"nakupni",2.7001834862
"310","BBD",1998-07-01,"nakupni",2.0112067787
"311","BMD",1998-07-01,"nakupni",1
"312","XPT",1998-07-01,"nakupni",0.0027654896
"313","BSD",1998-07-01,"nakupni",1
"314","XDR",1998-07-01,"nakupni",0.7510462386
"315","USD",1998-08-01,"nakupni",1
"316","EUR",1998-08-01,"nakupni",0.9024725275
"317","GBP",1998-08-01,"nakupni",0.612177929
"318","INR",1998-08-01,"nakupni",42.494375703
"319","AUD",1998-08-01,"nakupni",1.6448242081
"320","CAD",1998-08-01,"nakupni",1.5111
"321","SGD",1998-08-01,"nakupni",1.725
"322","CHF",1998-08-01,"nakupni",1.4906777153
"323","MYR",1998-08-01,"nakupni",4.14
"324","JPY",1998-08-01,"nakupni",144.6028708134
"325","CNY",1998-08-01,"nakupni",8.28
"326","NZD",1998-08-01,"nakupni",1.9528301887
"327","THB",1998-08-01,"nakupni",40.6975491516
"328","HUF",1998-08-01,"nakupni",216.1802575107
"329","HKD",1998-08-01,"nakupni",7.7492307692
"330","ZAR",1998-08-01,"nakupni",6.1103922362
"331","PHP",1998-08-01,"nakupni",41.9051580699
"332","SEK",1998-08-01,"nakupni",7.9489742241
"333","IDR",1998-08-01,"nakupni",13026.724137931
"334","SAR",1998-08-01,"nakupni",3.7505584512
"335","BRL",1998-08-01,"nakupni",1.1629213483
"336","KRW",1998-08-01,"nakupni",1228.5365853659
"337","EGP",1998-08-01,"nakupni",3.421875
"338","NOK",1998-08-01,"nakupni",7.5517241379
"339","DKK",1998-08-01,"nakupni",6.7792732167
"340","PKR",1998-08-01,"nakupni",52.3959778086
"341","ILS",1998-08-01,"nakupni",3.6403276319
"342","XAU",1998-08-01,"nakupni",0.0034620143
"343","CLP",1998-08-01,"nakupni",465.9574468085
"344","TWD",1998-08-01,"nakupni",34.3431818182
"345","CZK",1998-08-01,"nakupni",30.7759674134
"346","JOD",1998-08-01,"nakupni",0.7090038943
"347","FJD",1998-08-01,"nakupni",2.0264181306
"348","DZD",1998-08-01,"nakupni",56.5743167353
"349","ISK",1998-08-01,"nakupni",71.2783018868
"350","XAG",1998-08-01,"nakupni",0.1831414374
"351","JMD",1998-08-01,"nakupni",35.7487579844
"352","LBP",1998-08-01,"nakupni",1508.0838323353
"353","TTD",1998-08-01,"nakupni",6.2416356877
"354","XCD",1998-08-01,"nakupni",2.6998391996
"355","BBD",1998-08-01,"nakupni",2.0113137229
"356","BMD",1998-08-01,"nakupni",1
"357","XPT",1998-08-01,"nakupni",0.0026483114
"358","BSD",1998-08-01,"nakupni",1
"359","XDR",1998-08-01,"nakupni",0.7521652563
"360","USD",1998-09-01,"nakupni",1
"361","EUR",1998-09-01,"nakupni",0.8875492829
"362","GBP",1998-09-01,"nakupni",0.5971245147
"363","INR",1998-09-01,"nakupni",42.451489478
"364","AUD",1998-09-01,"nakupni",1.7197741364
"365","CAD",1998-09-01,"nakupni",1.5533
"366","SGD",1998-09-01,"nakupni",1.7150270509
"367","CHF",1998-09-01,"nakupni",1.4402410756
"368","MYR",1998-09-01,"nakupni",3.8495662949
"369","JPY",1998-09-01,"nakupni",136.1349693252
"370","CNY",1998-09-01,"nakupni",8.2798507463
"371","NZD",1998-09-01,"nakupni",1.9699429296
"372","THB",1998-09-01,"nakupni",40.3979193758
"373","HUF",1998-09-01,"nakupni",223.4964028777
"374","HKD",1998-09-01,"nakupni",7.7471321696
"375","ZAR",1998-09-01,"nakupni",6.2861189802
"376","PHP",1998-09-01,"nakupni",43.003875969
"377","SEK",1998-09-01,"nakupni",7.9493346981
"378","IDR",1998-09-01,"nakupni",10862.237762238
"379","SAR",1998-09-01,"nakupni",3.7510263221
"380","BRL",1998-09-01,"nakupni",1.1765641569
"381","KRW",1998-09-01,"nakupni",1354.2284219704
"382","EGP",1998-09-01,"nakupni",3.4123462214
"383","NOK",1998-09-01,"nakupni",7.7201789264
"384","DKK",1998-09-01,"nakupni",6.6636636637
"385","PKR",1998-09-01,"nakupni",53.9527613755
"386","ILS",1998-09-01,"nakupni",3.8277476589
"387","XAU",1998-09-01,"nakupni",0.0035842352
"388","CLP",1998-09-01,"nakupni",473.1343283582
"389","TWD",1998-09-01,"nakupni",34.8117436127
"390","CZK",1998-09-01,"nakupni",31.7
"391","JOD",1998-09-01,"nakupni",0.7090104072
"392","FJD",1998-09-01,"nakupni",2.0832886266
"393","DZD",1998-09-01,"nakupni",56.4836363636
"394","ISK",1998-09-01,"nakupni",71.252293578
"395","XAG",1998-09-01,"nakupni",0.2061720202
"396","JMD",1998-09-01,"nakupni",35.8481421648
"397","LBP",1998-09-01,"nakupni",1518.3773216031
"398","TTD",1998-09-01,"nakupni",6.2431672026
"399","XCD",1998-09-01,"nakupni",2.6999826178
"400","BBD",1998-09-01,"nakupni",2.0112650524
"401","BMD",1998-09-01,"nakupni",1
"402","XPT",1998-09-01,"nakupni",0.0027404728
"403","BSD",1998-09-01,"nakupni",1
"404","XDR",1998-09-01,"nakupni",0.7413612066
"405","USD",1998-10-01,"nakupni",1
"406","EUR",1998-10-01,"nakupni",0.8378791185
"407","GBP",1998-10-01,"nakupni",0.5866177819
"408","INR",1998-10-01,"nakupni",42.3023960342
"409","AUD",1998-10-01,"nakupni",1.6748446189
"410","CAD",1998-10-01,"nakupni",1.536
"411","SGD",1998-10-01,"nakupni",1.688468726
"412","CHF",1998-10-01,"nakupni",1.3638785296
"413","MYR",1998-10-01,"nakupni",3.7991590403
"414","JPY",1998-10-01,"nakupni",135.6890459364
"415","CNY",1998-10-01,"nakupni",8.275862069
"416","NZD",1998-10-01,"nakupni",1.9850090463
"417","THB",1998-10-01,"nakupni",39.5163365063
"418","HUF",1998-10-01,"nakupni",216.6431593794
"419","HKD",1998-10-01,"nakupni",7.7497477296
"420","ZAR",1998-10-01,"nakupni",6.0904044409
